Cycle Number,Cell Difference
365,254
366,189
367,111
368,198
369,203
370,193
371,196
372,242
373,252
374,192
375,187
376,181
377,197
378,196
379,206
380,185
381,199
382,176
383,198
384,226
385,193
386,206
387,211
388,178
389,211
390,196
391,192
392,191
393,193
394,209
395,245
396,247
397,263
398,249
399,97
400,213
401,200
402,199
403,277
404,92
405,128
406,191
407,44
408,193
409,194
410,203
411,184
412,160
413,211
414,190
415,59
416,56
417,92
418,214
419,141
420,214
421,219
422,216
423,205
424,74
425,99
426,183
427,193
428,190
429,210
430,205
431,207
432,209
433,203
434,216
435,223
436,151
437,263
438,188
439,181
440,199
441,239
442,215
443,211
444,211
445,253
446,196
447,59
448,70
449,76
450,25
451,192
452,89
453,41
454,197
455,199
456,216
457,40
458,131
459,30
460,75
461,206
462,202
463,190
464,162
465,205
466,232
467,207
468,224
469,261
470,259
471,176
472,188
473,67
474,33
475,195
476,198
477,190
478,170
479,193
480,182
481,198
482,199
483,204
484,208
485,208
486,204
487,214
488,246
489,250
490,152
491,113
492,99
493,202
494,209
495,189
496,122
497,32
498,209
499,192
500,184
501,203
502,109
503,206
504,211
505,194
506,261
507,266
508,272
509,180
510,140
511,67
512,194
513,173
514,142
515,121
516,468
517,449
518,472
519,196
520,195
521,187
522,190
523,234
524,271
525,259
526,210
527,253
528,56
529,213
530,194
531,197
532,238
533,209
534,86
535,221
536,230
537,241
538,269
539,260
540,213
541,196
542,238
543,53
544,197
545,137
546,182
547,203
548,102
549,196
550,191
551,172
552,154
553,178
554,173
555,126
556,197
557,265
558,145
559,123
560,195
561,189
562,195
563,192
564,178
565,183
566,194
567,180
568,189
569,195
570,168
571,208
572,209
573,215
574,251
575,270
576,269
577,77
578,192
579,183
580,202
581,190
582,216
583,188
584,196
585,200
586,216
587,184
588,198
589,214
590,269
591,254
592,201
593,185
594,202
595,269
596,174
597,199
598,189
599,193
600,195
601,192
602,191
603,202
604,192
605,185
606,206
607,196
608,210
609,198
610,199
611,174
612,170
613,196
614,226
615,190
616,194
617,185
618,209
619,228
620,258
621,103
622,289
623,243
624,29
625,194
626,188
627,66
628,203
629,184
630,193
631,144
632,191
633,202
634,187
635,212
636,186
637,206
638,187
639,193
640,216
641,33
642,428
643,208
644,279
645,180
646,170
647,190
648,171
649,154
650,171
651,197
652,182
653,186
654,203
655,203
656,191
657,188
658,178
659,173
660,166
661,74
662,133
663,108
664,156
665,257
666,256
667,259
668,142
669,91
670,137
671,47
672,195
673,159
674,133
675,42
676,111
677,192
678,182
679,197
680,76
681,167
682,194
683,185
684,185
685,202
686,208
687,210
688,263
689,277
690,237
691,283
692,274
693,259
694,269
695,207
696,276
697,269
698,207
699,276
700,88
701,505
702,433
703,459
704,83
705,489
706,149
707,179
708,192
709,179
710,182
711,181
712,190
713,53
714,162
715,36
716,185
717,187
718,198
719,244
720,32
721,174
722,199
723,213
724,155
725,85
726,210
727,189
728,113
729,90
730,171
731,180
732,137
733,206
734,197
735,68
736,190
737,11
738,201
739,191
740,125
741,204
742,191
743,186
744,179
745,127
746,90
